id,DateTime,max_temp,min_temp,avg_temp,rh_max,rh_min,rh_avg,dew_max,dew_min,dew_avg,Wind_maxMS,et0
1,1/1/2019 6:00,24.3,18.5,19.5,69.7,68.8,70.55,19.3,12.5,14,6.67,2.54
2,1/1/2019 7:00,26.3,20.5,21.5,57.7,56.8,58.55,21.3,14.5,16,5.78,4.42
3,1/1/2019 8:00,26.7,20.9,21.9,55.7,54.8,56.55,21.7,14.9,16.4,6.67,4.81
4,1/1/2019 9:00,27.3,21.5,22.5,47.1,46.2,47.95,22.3,15.5,17,6.67,5.96
5,1/1/2019 10:00,29.3,23.5,24.5,43.7,42.8,44.55,24.3,17.5,19,5.78,6.6
6,1/1/2019 11:00,29.9,24.1,25.1,46,45.1,46.85,24.9,18.1,19.6,5.78,6.53
7,1/1/2019 12:00,29.7,23.9,24.9,52,51.1,52.85,24.7,17.9,19.4,6.67,6.39
8,1/1/2019 13:00,29.9,24.1,25.1,60,59.1,60.85,24.9,18.1,19.6,7.56,6.24
9,1/1/2019 14:00,28.3,22.5,23.5,65,64.1,65.85,23.3,16.5,18,6.67,4.85
10,1/1/2019 15:00,28.7,22.9,23.9,67.2,66.3,68.05,23.7,16.9,18.4,7.12,4.85
11,1/1/2019 16:00,26.3,20.5,21.5,70.7,69.8,71.55,21.3,14.5,16,6.67,3.44
12,1/1/2019 17:00,25.7,19.9,20.9,70.7,69.8,71.55,20.7,13.9,15.4,6.67,2.94
13,1/1/2019 18:00,25.6,19.8,20.8,72,71.1,72.85,20.6,13.8,15.3,5.78,2.78
14,1/2/2019 6:00,23.3,17.5,18.5,69.7,68.8,70.55,18.3,11.5,13,6.67,2.04
15,1/2/2019 7:00,23.5,17.7,18.7,57.7,56.8,58.55,18.5,11.7,13.2,5.78,3.2
16,1/2/2019 8:00,23.3,17.5,18.5,55.7,54.8,56.55,18.3,11.5,13,5.78,3.38
17,1/2/2019 9:00,24.7,18.9,19.9,46.7,45.8,47.55,19.7,12.9,14.4,7.56,4.99
18,1/2/2019 10:00,24,18.2,19.2,43.9,43,44.75,19,12.2,13.7,6.67,5.02
19,1/2/2019 11:00,24.8,19,20,45.7,44.8,46.55,19.8,13,14.5,5.78,4.79
